k,model_profit,ipw_profit,lo,hi
0,0,0,0,0
25,696.9536218360188,0.6928947214944958,-0.20893595954093183,1.6836531694285601
50,1100.8014073867591,0.3901998471328422,-0.5748800338465961,1.4890757100788317
75,1388.2568502955526,1.0827177505194265,-0.1914802856530176,2.392055868300158
100,1595.6479176910354,0.5338786866682421,-0.6815309673638924,1.8255072134032735
125,1762.5080091644286,1.1999955973181056,-0.3659858607443929,2.870497434835621
150,1891.0992031406458,2.018170541539888,0.15396821842517683,3.92623601461557
175,1985.4632527726214,2.7532120789239505,0.8193334666922889,5.032988565420343
200,2044.761269861522,2.67409775509389,0.390099448854011,4.981615880001611
225,2078.044048328607,2.867285886287621,0.7668678241034276,5.399836162059135
250,2088.2241427984036,2.863005405977247,0.7597909863552667,5.358751742803243
275,2080.117002405821,3.014365738199166,0.542725337451918,5.58774310266847
300,2054.557919510317,2.846308619125076,0.5800376234475424,5.619377343252747
325,2018.315835374355,2.336648472984792,0.18713663759774438,4.989867848095788
350,1973.701591318074,2.525231232251678,-0.14871642787885003,5.031851573956879
375,1921.6920099644017,2.081142547963148,-0.3210143561828312,4.826764899983937
400,1860.836450596085,2.359110195466985,-0.2758967237067921,5.171426354469075
425,1793.2527241133039,2.732980566635695,-0.07526953789347929,5.54633289186767
450,1721.632124379613,2.5761792383877578,-0.20729715887907507,5.223081818782269
475,1646.0110390092088,2.328693944388858,-4.760386944266161e-4,4.920098645212839
500,1565.4934371142747,2.013956898619012,-0.2966875474854304,4.779698818121457
525,1476.7711432485137,2.0868326792041936,-0.29773643659392485,4.774058176858569
550,1383.345390364948,1.8606379910323143,-0.8185083124157319,4.763032273798924
575,1286.3359927594524,1.717261588918196,-0.997807600984416,4.478022275237391
600,1185.7573423865576,2.1776471793110748,-0.4671556764392226,5.039669822709674
